weight_c,count,clean_mae,baseline_clean_mae,clean_delta,artifact_mae,baseline_artifact_mae,artifact_delta,artifact_gain,disagreement_mean,baseline_disagreement_mean,disagreement_reduction,max_age_clean_delta,max_age_artifact_delta,feasible
0.87,14036,6.315691485178033,6.330013979327206,-0.014322494149173082,6.482459858529893,7.237796939176928,-0.7553370806470348,0.7553370806470348,1.1772379471155683,3.093309116553771,0.6194244083736711,0.33985311787354977,0.0927931839926952,False
0.88,14036,6.3194196917603715,6.330013979327206,-0.01059428756683456,6.483981816108901,7.237796939176928,-0.7538151230680263,0.7538151230680263,1.1678162580801568,3.093309116553771,0.6224702368636179,0.35133627302287085,0.10690984323171193,False
0.89,14036,6.323204133850993,6.330013979327206,-0.0068098454762131055,6.485705229068081,7.237796939176928,-0.7520917101088465,0.7520917101088465,1.1589683309746928,3.093309116553771,0.6253305805189333,0.3630220749498081,0.12118008687109949,False
0.9,14036,6.3270593916598665,6.330013979327206,-0.002954587667339581,6.487740671631277,7.237796939176928,-0.7500562675456504,0.7500562675456504,1.1506270571426302,3.093309116553771,0.6280271341182566,0.3747078768767462,0.13580269840176573,False
0.91,14036,6.331004627925712,6.330013979327206,0.000990648598506283,6.490077635921893,7.237796939176928,-0.7477193032550344,0.7477193032550344,1.1428960002389312,3.093309116553771,0.6305264177696468,0.3864914018854746,0.15082195661320963,False
0.92,14036,6.335044306724899,6.330013979327206,0.005030327397692602,6.492718510066522,7.237796939176928,-0.7450784291104053,0.7450784291104053,1.1358004148912144,3.093309116553771,0.6328202671976735,0.3984240402136443,0.16601698720921476,False
0.93,14036,6.339170372556098,6.330013979327206,0.009156393228892057,6.495649760445492,7.237796939176928,-0.742147178731436,0.742147178731436,1.1295161390807356,3.093309116553771,0.6348518377823424,0.41044117302068894,0.18172762336944004,False
0.9400000000000001,14036,6.343385884613011,6.330013979327206,0.013371905285804786,6.498784871344622,7.237796939176928,-0.7390120678323058,0.7390120678323058,1.1240867351228674,3.093309116553771,0.636607046768348,0.4225210700860904,0.1977800086676753,False
0.9500000000000001,14036,6.347664327586128,6.330013979327206,0.017650348258921866,6.502191423235133,7.237796939176928,-0.7356055159417947,0.7356055159417947,1.1194859182097423,3.093309116553771,0.6380943914661359,0.4347175086676742,0.21442732443356682,False
0.96,14036,6.352026547072925,6.330013979327206,0.022012567745719025,6.505811158041901,7.237796939176928,-0.7319857811350268,0.7319857811350268,1.115693516615756,3.093309116553771,0.6393203929587417,0.4470104584933656,0.23125134072756648,False
0.97,14036,6.356530341683511,6.330013979327206,0.026516362356304946,6.509667127472819,7.237796939176928,-0.7281298117041084,0.7281298117041084,1.1127498141365126,3.093309116553771,0.640272028365462,0.4594193306182355,0.24843302252572386,False
0.98,14036,6.3611165871107875,6.330013979327206,0.031102607783581426,6.513771164786208,7.237796939176928,-0.7240257743907197,0.7240257743907197,1.1106414106341298,3.093309116553771,0.6409536296613363,0.4719303708209681,0.2659475631287638,False
0.99,14036,6.365822587876145,6.330013979327206,0.035808608548938636,6.518063858817126,7.237796939176928,-0.7197330803598021,0.7197330803598021,1.1092769068753017,3.093309116553771,0.6413947442436216,0.4845996282993088,0.283549775278102,False
1.0,14036,6.3706596825122155,6.330013979327206,0.040645703185009374,6.522732400391373,7.237796939176928,-0.7150645387855548,0.7150645387855548,1.1090097897546725,3.093309116553771,0.6414810974370998,0.49758198487692074,0.30145856122064885,False
